Situations,Urban
Ciity,"PA, State College"
Location Description,"BEAVER AV
 Between Sparks St and Gill St"
Site Number ,1134
Data Time,"Nov 16, 2016"
Peak Time,8AM
Peak Volume,696
Off-peak Time,1PM
Off-peak Volume,368
Link to Real Traffic Data,https://gis.penndot.gov/tire/tms-sites/1134/report
Situations,Arterial
Ciity,"PA, State College"
Location Description,"COLLEGE AV
 0.65 MILE NORTHEAST OF SR-3022 "
Site Number ,1136
Data Time,"Nov 16, 2016"
Peak Time,5PM
Peak Volume,2374
Off-peak Time,9AM
Off-peak Volume,1212
Link to Real Traffic Data,https://gis.penndot.gov/tire/tms-sites/1136/report
Situations,Highway
Ciity,"PA, State College"
Location Description,"I-99
 1.35 Mile North of Exit 71"
Site Number ,1180
Data Time,"Dec 05, 2016"
Peak Time,4PM
Peak Volume,4046
Off-peak Time,9AM
Off-peak Volume,2321
Link to Real Traffic Data,https://gis.penndot.gov/tire/tms-sites/1180/report